Negeri,Lokasi (Daerah),Nama Tempat,Jarak Pendakian (KM),Ketinggian (Meter),Anggaran Masa,Bentuk Muka Bumi,Trek Akhir Pendakian,Tahap kesukaran,Berkhemah
Terengganu,Kuala Nerus,Bukit Maras,3,330,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",3,Ya
Terengganu,Besut,Bukit Keluang,2,210,1,"Bukit, Susuh Bukit, Tebing","Matahari Terbit/Terbenam, Air Laut / Pinggir Pantai, Gua",3,Ya
Terengganu,Kuala Terengganu,Bukit Besar,2,200,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",3,Tidak
Terengganu,"Pasir Raja, Dungun",Chemerong,3,370,2,"Bukit, Berbatu, Susuh Bukit",Air Terjun,3,Ya
Terengganu,Kuala Terengganu,Bukit Rohok,3,268,2,"Bukit, Susuh Bukit","Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Terengganu,Kuala Nerus,Bukit Jong,3,350,2,"Bukit, Susuh Bukit","Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Terengganu,Pulau Kapas,Bukit Singa,1,100,1,"Bukit, Tebing","Matahari Terbit/Terbenam, Air Laut / Pinggir Pantai",1,Tidak
Terengganu,Besut,Gunung Tebu,5,1040,6,"Gunung, Berbatu, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Sungai, Hutan Gunung / Bukit",5,Ya
Terengganu,Kemaman,Bukit Mak Dayang,2,130,1,Bukit,"Matahari Terbit/Terbenam, Air Terjun, Pemandangan Setempat",3,Tidak
Terengganu,Dungun,Bukit Bauk,4,600,3,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",3,Tidak
Terengganu,Kemaman,Bukit Harimau Menangis,3,200,2,"Bukit, Permatang","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Terengganu,Kemaman,Janda Mandi,2,500,1,"Bukit, Tebing","Air Terjun, Air Laut / Pinggir Pantai",2,Ya
Terengganu,Kemaman,Bukit Teluk Mok Nik,2,60,1,"Bukit, Permatang, Tebing","Matahari Terbit/Terbenam, Air Laut / Pinggir Pantai, Gua",2,Tidak
Terengganu,Kemaman,Bukit Penjajat Telaga SImpul,2,100,1,"Bukit, Tebing","Matahari Terbit/Terbenam, Air Laut / Pinggir Pantai, Gua",2,Tidak
Terengganu,Kemaman,Bukit Mentok,4,120,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",3,Tidak
Terengganu,Setiu,Gunung Larut,6,1229,6,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Air Laut / Pinggir Pantai, Hutan Gunung / Bukit",3,Ya
Terengganu,Kuala Nerus,Bukit Tok Salai,2,160,1,"Bukit, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat",1,Tidak
Terengganu,Marang,Bukit Lubuk Batu,4,359,3,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",3,Ya
Terengganu,Besut,Bukit Bubus,3,85,1,"Bukit, Permatang, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Air Laut / Pinggir Pantai",2,Ya
Terengganu,Besut,Bukit Jelutung,2,120,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",1,Ya
Terengganu,Hulu Terengganu,Bukit Balik Hidung,3,131,1,"Bukit, Permatang, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Terengganu,Dungun,Bukit Chatak,3,60,1,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Terengganu,Dungun,Sungai Loh,6,200,5,"Bukit, Berbatu, Susuh Bukit","Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Terengganu,Dungun,Tasik Puteri,2,50,1,"Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai",2,Ya
Terengganu,Kuala Nerus,Bukit Bidung Darat,6,183,3,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Kuantan,Bukit Panorama,3,271,2,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",1,Tidak
Terengganu,Kemaman,Bukit Kambing,2,100,2,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Terengganu,Kuala Nerus,Bukit Berangan,2,50,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",1,Tidak
Terengganu,Kuala Terengganu,Bukit Temiang,2,328,3,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Terengganu,Besut,Lata Tembakah,2,100,1,Bukit,"Air Terjun, Sungai",1,Ya
Terengganu,Besut,Melunak,2,15,1,Susuh Bukit,"Air Terjun, Sungai, Hutan Gunung / Bukit",3,Ya
Pahang,Kemayan,Bukit Senorang,4,353,2,"Bukit, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Taman Negara,Gunung Tahan,7,2187,7,"Gunung, Bukit, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Pahang,Jerantut,Bukit Seladang,4,350,3,"Bukit, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Jerantut,Bukit Buloh,3,267,2,"Bukit, Banjaran, Susuh Bukit","Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Jerantut,Bukit Panau,2,250,1,"Bukit, Permatang","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Temerloh,Gunung Senyum,4,150,3,"Gunung, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Sungai, Gua, Hutan Gunung / Bukit",4,Ya
Pahang,Bukit Fraser,Pine Tree Hill Trail,5,1505,4,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Bentong,Gunung Rajah,7,2015,4,"Gunung, Banjaran, Permatang, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Bukit Fraser,Bishop Trail,4,353,3,"Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Janda Mandi,Gunung Nuang,6,1042,4,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Pahang,Bukit Fraser,Hemmant Trail,2,99,1,Tanah Tinggi,"Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Bentong,Bukit Raka,3,399,2,"Bukit, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Pemandangan Setempat",3,Tidak
Pahang,Kuantan,Bukit Pelindung,3,383,2,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Pahang,Bentong,Bukit Do Bentong,1,100,1,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat",2,Tidak
Pahang,Raub,Gunung Benum,6,2107,65,"Gunung, Banjaran","Matahari Terbit/Terbenam, Hutan Gunung / Bukit",5,Ya
Pahang,Jerantut,Bukit Rong,6,220,4,"Bukit, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Bukit Fraser,Gunung Hulu Semangkok,4,658,4,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Bentong,Lata Hammer Waterfall,5,322,4,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat",4,Ya
Pahang,Kuantan ,Berkelah Falls,4,193,4,"Gunung, Banjaran, Susuh Bukit","Matahari Terbit/Terbenam, Air Terjun, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Bentong,Hutan Lipur Lentang,7,150,4,"Gunung, Banjaran, Susuh Bukit","Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Pahang,Janda Baik,Chemperoh Waterfall,3,394,2,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Pemandangan Setempat, Hutan Gunung / Bukit",3,Ya
Pahang,Kuantan,Sungai Pandan Waterfall,2,350,2,Banjaran,"Air Terjun, Sungai, Hutan Gunung / Bukit",3,Ya
Pahang,Kuala Tahan,Taman Negara ,7,40,5,"Gunung, Banjaran","Air Terjun, Sungai, Hutan Gunung / Bukit",4,Ya
Pahang,Sungai Lembing,Air Terjun Pelangi Lembing,3,650,3,Bukit,"Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat",3,Ya
Pahang,Bentong,Bukit Kemasul,3,286,2,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Bukit Fraser,Maxwell Trail,4,353,2,"Bukit, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Tidak
Pahang,Genting Highland,Bukit Repin Trailhead,6,954,3,"Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Bentong,Desa Damai Hill East,3,192,2,"Bukit, Susuh Bukit","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Cameron Highland,Gunung Siku,3,1916,2,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",1,Tidak
Pahang,Bukit Fraser,Kindersley Trail,1,363,1,Tanah Tinggi,"Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",1,Tidak
Pahang,Bukit Tinggi,Jeriau Waterfall,1,31,1,"Tanah Tinggi, Banjaran","Air Terjun, Hutan Gunung / Bukit",3,Tidak
Pahang,Brincang,Mount Irau,4,2000,3,"Gunung, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Brincang,Mossy Forest,3,1100,3,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Pahang,Kuala Tahan,Gunung Tahan,7,4328,6,"Gunung, Banjaran","Matahari Terbit/Terbenam, Air Terjun, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",5,Ya
Pahang,Cameron Highland,Gunung Berembun,3,483,3,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",2,Ya
Pahang,Jerantut,Bukit Merah,3,260,3,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",3,Tidak
Pahang,Sungai Lembing,Gunung Tapis,6,1557,4,"Gunung, Banjaran","Matahari Terbit/Terbenam, Sungai, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Gambang,Bukit Sulai,4,333,2,Bukit,"Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Pahang,Cameron Highland,Gunung Penelope,2,1838,2,"Gunung, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",2,Tidak
Pahang,Genting Highland,Gunung Bunga Buah,6,979,3,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Jerantut,Gua Kota Gelanggi,4,30,3,Susuh Bukit,Gua,3,Ya
Pahang,Bukit Fraser,Gunung Semangkok,7,1825,6,"Gunung, Tanah Tinggi, Banjaran","Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
Pahang,Raub,Gunung Jua,4,830,3,Gunung,"Matahari Terbit/Terbenam, Pemandangan Setempat, Hutan Gunung / Bukit",4,Ya
